boro,ad,candidate,votes
Bronx,AD 85,WRITE-IN,24
Bronx,AD 86,Aaron S. Foldenauer,458
Bronx,AD 86,Andrew Yang,1198
Bronx,AD 86,Art Chang,152
Bronx,AD 86,Dianne Morales,1002
Bronx,AD 86,Eric L. Adams,6440
Bronx,AD 86,Isaac Wright Jr.,94
Bronx,AD 86,Joycelyn Taylor,112
Bronx,AD 86,Kathryn A. Garcia,872
Bronx,AD 86,Maya D. Wiley,1626
Bronx,AD 86,Paperboy Love Prince,20
Bronx,AD 86,Raymond J. McGuire,296
Bronx,AD 86,Scott M. Stringer,408
Bronx,AD 86,Shaun Donovan,288
Bronx,AD 86,WRITE-IN,24
Bronx,AD 87,Aaron S. Foldenauer,464
Bronx,AD 87,Andrew Yang,1798
Bronx,AD 87,Art Chang,146
Bronx,AD 87,Dianne Morales,916
Bronx,AD 87,Eric L. Adams,8630
Bronx,AD 87,Isaac Wright Jr.,98
Bronx,AD 87,Joycelyn Taylor,102
Bronx,AD 87,Kathryn A. Garcia,1472
Bronx,AD 87,Maya D. Wiley,3180
Bronx,AD 87,Paperboy Love Prince,50
Bronx,AD 87,Raymond J. McGuire,540
Bronx,AD 87,Scott M. Stringer,998
Bronx,AD 87,Shaun Donovan,562
Bronx,AD 87,WRITE-IN,44
Kings,AD 41,Aaron S. Foldenauer,124
Kings,AD 41,Andrew Yang,2910
Kings,AD 41,Art Chang,110
Kings,AD 41,Dianne Morales,236
Kings,AD 41,Eric L. Adams,11430
Kings,AD 41,Isaac Wright Jr.,48
Kings,AD 41,Joycelyn Taylor,50
Kings,AD 41,Kathryn A. Garcia,1902
Kings,AD 41,Maya D. Wiley,2330
Kings,AD 41,Paperboy Love Prince,62
Kings,AD 41,Raymond J. McGuire,314
Kings,AD 41,Scott M. Stringer,1008
Kings,AD 41,Shaun Donovan,422
Kings,AD 41,WRITE-IN,64
Kings,AD 42,Aaron S. Foldenauer,158
Kings,AD 42,Andrew Yang,1514
Kings,AD 42,Art Chang,120
Kings,AD 42,Dianne Morales,580
Kings,AD 42,Eric L. Adams,16306
Kings,AD 42,Isaac Wright Jr.,54
Kings,AD 42,Joycelyn Taylor,88
Kings,AD 42,Kathryn A. Garcia,2598
Kings,AD 42,Maya D. Wiley,7998
Kings,AD 42,Paperboy Love Prince,138
Kings,AD 42,Raymond J. McGuire,424
Kings,AD 42,Scott M. Stringer,960
Kings,AD 42,Shaun Donovan,406
Kings,AD 42,WRITE-IN,38
Kings,AD 43,Aaron S. Foldenauer,156
Kings,AD 43,Andrew Yang,1150
Kings,AD 43,Art Chang,156
Kings,AD 43,Dianne Morales,846
Kings,AD 43,Eric L. Adams,21072
Kings,AD 43,Isaac Wright Jr.,102
Kings,AD 43,Joycelyn Taylor,98
Kings,AD 43,Kathryn A. Garcia,3058
Kings,AD 43,Maya D. Wiley,12210
Kings,AD 43,Paperboy Love Prince,234
Kings,AD 43,Raymond J. McGuire,442
Kings,AD 43,Scott M. Stringer,1044
Kings,AD 43,Shaun Donovan,442
Kings,AD 43,WRITE-IN,14
Kings,AD 44,Aaron S. Foldenauer,318
Kings,AD 44,Andrew Yang,4064
Kings,AD 44,Art Chang,242
Kings,AD 44,Dianne Morales,1146
Kings,AD 44,Eric L. Adams,6286
Kings,AD 44,Isaac Wright Jr.,24
Kings,AD 44,Joycelyn Taylor,60
Kings,AD 44,Kathryn A. Garcia,12548
Kings,AD 44,Maya D. Wiley,13254
Kings,AD 44,Paperboy Love Prince,176
Kings,AD 44,Raymond J. McGuire,386
Kings,AD 44,Scott M. Stringer,2228
Kings,AD 44,Shaun Donovan,434
Kings,AD 44,WRITE-IN,50
Kings,AD 45,Aaron S. Foldenauer,178
Kings,AD 45,Andrew Yang,2568
Kings,AD 45,Art Chang,88
Kings,AD 45,Dianne Morales,210
Kings,AD 45,Eric L. Adams,4612
Kings,AD 45,Isaac Wright Jr.,22
Kings,AD 45,Joycelyn Taylor,18
Kings,AD 45,Kathryn A. Garcia,1328
Kings,AD 45,Maya D. Wiley,836
Kings,AD 45,Paperboy Love Prince,44
Kings,AD 45,Raymond J. McGuire,120
Kings,AD 45,Scott M. Stringer,644
Kings,AD 45,Shaun Donovan,194
Kings,AD 45,WRITE-IN,46
Kings,AD 46,Aaron S. Foldenauer,188
Kings,AD 46,Andrew Yang,2596
Kings,AD 46,Art Chang,146
Kings,AD 46,Dianne Morales,438
Kings,AD 46,Eric L. Adams,4604
Kings,AD 46,Isaac Wright Jr.,42
Kings,AD 46,Joycelyn Taylor,60
Kings,AD 46,Kathryn A. Garcia,2968
Kings,AD 46,Maya D. Wiley,2264
Kings,AD 46,Paperboy Love Prince,60
Kings,AD 46,Raymond J. McGuire,274
Kings,AD 46,Scott M. Stringer,1010
Kings,AD 46,Shaun Donovan,374
Kings,AD 46,WRITE-IN,52
Kings,AD 47,Aaron S. Foldenauer,152
Kings,AD 47,Andrew Yang,4602
Kings,AD 47,Art Chang,114
Kings,AD 47,Dianne Morales,296
Kings,AD 47,Eric L. Adams,1820
Kings,AD 47,Isaac Wright Jr.,16
Kings,AD 47,Joycelyn Taylor,44
Kings,AD 47,Kathryn A. Garcia,1216
Kings,AD 47,Maya D. Wiley,1038
Kings,AD 47,Paperboy Love Prince,36
Kings,AD 47,Raymond J. McGuire,100
Kings,AD 47,Scott M. Stringer,610
Kings,AD 47,Shaun Donovan,208
Kings,AD 47,WRITE-IN,50
Kings,AD 48,Aaron S. Foldenauer,112
Kings,AD 48,Andrew Yang,8010
Kings,AD 48,Art Chang,60
Kings,AD 48,Dianne Morales,140
Kings,AD 48,Eric L. Adams,6394
Kings,AD 48,Isaac Wright Jr.,26
Kings,AD 48,Joycelyn Taylor,42
Kings,AD 48,Kathryn A. Garcia,674
Kings,AD 48,Maya D. Wiley,630
Kings,AD 48,Paperboy Love Prince,34
Kings,AD 48,Raymond J. McGuire,156
Kings,AD 48,Scott M. Stringer,426
Kings,AD 48,Shaun Donovan,94
Kings,AD 48,WRITE-IN,66
Kings,AD 49,Aaron S. Foldenauer,96
Kings,AD 49,Andrew Yang,4226
Kings,AD 49,Art Chang,154
Kings,AD 49,Dianne Morales,250
Kings,AD 49,Eric L. Adams,1504
Kings,AD 49,Isaac Wright Jr.,16
Kings,AD 49,Joycelyn Taylor,28
Kings,AD 49,Kathryn A. Garcia,1144
Kings,AD 49,Maya D. Wiley,904
Kings,AD 49,Paperboy Love Prince,34
Kings,AD 49,Raymond J. McGuire,90
Kings,AD 49,Scott M. Stringer,382
Kings,AD 49,Shaun Donovan,164
Kings,AD 49,WRITE-IN,26
Kings,AD 50,Aaron S. Foldenauer,62
Kings,AD 50,Andrew Yang,8068
Kings,AD 50,Art Chang,260
Kings,AD 50,Dianne Morales,934
Kings,AD 50,Eric L. Adams,5292
Kings,AD 50,Isaac Wright Jr.,34
Kings,AD 50,Joycelyn Taylor,86
Kings,AD 50,Kathryn A. Garcia,6714
Kings,AD 50,Maya D. Wiley,13078
Kings,AD 50,Paperboy Love Prince,304
Kings,AD 50,Raymond J. McGuire,396
Kings,AD 50,Scott M. Stringer,938
Kings,AD 50,Shaun Donovan,378
Kings,AD 50,WRITE-IN,100
Kings,AD 51,Aaron S. Foldenauer,190
Kings,AD 51,Andrew Yang,2558
Kings,AD 51,Art Chang,166
Kings,AD 51,Dianne Morales,948
Kings,AD 51,Eric L. Adams,3646
Kings,AD 51,Isaac Wright Jr.,30
Kings,AD 51,Joycelyn Taylor,44
Kings,AD 51,Kathryn A. Garcia,4382
Kings,AD 51,Maya D. Wiley,6528
Kings,AD 51,Paperboy Love Prince,236
Kings,AD 51,Raymond J. McGuire,180
Kings,AD 51,Scott M. Stringer,698
Kings,AD 51,Shaun Donovan,258
Kings,AD 51,WRITE-IN,28
Kings,AD 52,Aaron S. Foldenauer,90
Kings,AD 52,Andrew Yang,3544
Kings,AD 52,Art Chang,438
Kings,AD 52,Dianne Morales,1222
Kings,AD 52,Eric L. Adams,6658
Kings,AD 52,Isaac Wright Jr.,40
Kings,AD 52,Joycelyn Taylor,72
Kings,AD 52,Kathryn A. Garcia,27250
Kings,AD 52,Maya D. Wiley,22140
Kings,AD 52,Paperboy Love Prince,394
Kings,AD 52,Raymond J. McGuire,1166
Kings,AD 52,Scott M. Stringer,2778
Kings,AD 52,Shaun Donovan,1082
Kings,AD 52,WRITE-IN,28
Kings,AD 53,Aaron S. Foldenauer,216
Kings,AD 53,Andrew Yang,2816
Kings,AD 53,Art Chang,206
Kings,AD 53,Dianne Morales,1424
Kings,AD 53,Eric L. Adams,5256
Kings,AD 53,Isaac Wright Jr.,38
Kings,AD 53,Joycelyn Taylor,66
Kings,AD 53,Kathryn A. Garcia,3282
Kings,AD 53,Maya D. Wiley,10518
Kings,AD 53,Paperboy Love Prince,510
Kings,AD 53,Raymond J. McGuire,194
Kings,AD 53,Scott M. Stringer,720
Kings,AD 53,Shaun Donovan,282
Kings,AD 53,WRITE-IN,48
Kings,AD 54,Aaron S. Foldenauer,238
Kings,AD 54,Andrew Yang,1296
Kings,AD 54,Art Chang,124
Kings,AD 54,Dianne Morales,952
Kings,AD 54,Eric L. Adams,7342
Kings,AD 54,Isaac Wright Jr.,62
Kings,AD 54,Joycelyn Taylor,90
Kings,AD 54,Kathryn A. Garcia,1322
Kings,AD 54,Maya D. Wiley,5168
Kings,AD 54,Paperboy Love Prince,226
Kings,AD 54,Raymond J. McGuire,340
Kings,AD 54,Scott M. Stringer,530
Kings,AD 54,Shaun Donovan,240
Kings,AD 54,WRITE-IN,30
Kings,AD 55,Aaron S. Foldenauer,186
Kings,AD 55,Andrew Yang,692
Kings,AD 55,Art Chang,48
Kings,AD 55,Dianne Morales,488
Kings,AD 55,Eric L. Adams,15716
Kings,AD 55,Isaac Wright Jr.,102
Kings,AD 55,Joycelyn Taylor,72
Kings,AD 55,Kathryn A. Garcia,788
Kings,AD 55,Maya D. Wiley,4304
Kings,AD 55,Paperboy Love Prince,86
Kings,AD 55,Raymond J. McGuire,392
Kings,AD 55,Scott M. Stringer,464
Kings,AD 55,Shaun Donovan,300
Kings,AD 55,WRITE-IN,14
Kings,AD 56,Aaron S. Foldenauer,156
Kings,AD 56,Andrew Yang,1156
Kings,AD 56,Art Chang,194
Kings,AD 56,Dianne Morales,980
Kings,AD 56,Eric L. Adams,15992
Kings,AD 56,Isaac Wright Jr.,114
Kings,AD 56,Joycelyn Taylor,112
Kings,AD 56,Kathryn A. Garcia,2696
Kings,AD 56,Maya D. Wiley,12058
Kings,AD 56,Paperboy Love Prince,310
Kings,AD 56,Raymond J. McGuire,542
Kings,AD 56,Scott M. Stringer,780
Kings,AD 56,Shaun Donovan,356
Kings,AD 56,WRITE-IN,22
Kings,AD 57,Aaron S. Foldenauer,142
Kings,AD 57,Andrew Yang,2542
Kings,AD 57,Art Chang,374
Kings,AD 57,Dianne Morales,1468
Kings,AD 57,Eric L. Adams,14948
Kings,AD 57,Isaac Wright Jr.,98
Kings,AD 57,Joycelyn Taylor,146
Kings,AD 57,Kathryn A. Garcia,10874
Kings,AD 57,Maya D. Wiley,24378
Kings,AD 57,Paperboy Love Prince,366
Kings,AD 57,Raymond J. McGuire,726
Kings,AD 57,Scott M. Stringer,1602
Kings,AD 57,Shaun Donovan,748
Kings,AD 57,WRITE-IN,40
Kings,AD 58,Aaron S. Foldenauer,114
Kings,AD 58,Andrew Yang,806
Kings,AD 58,Art Chang,46
Kings,AD 58,Dianne Morales,256
Kings,AD 58,Eric L. Adams,21678
Kings,AD 58,Isaac Wright Jr.,104
Kings,AD 58,Joycelyn Taylor,76
Kings,AD 58,Kathryn A. Garcia,510
Kings,AD 58,Maya D. Wiley,4352
Kings,AD 58,Paperboy Love Prince,32
Kings,AD 58,Raymond J. McGuire,484
Kings,AD 58,Scott M. Stringer,760
Kings,AD 58,Shaun Donovan,416
Kings,AD 58,WRITE-IN,10
Kings,AD 59,Aaron S. Foldenauer,138
Kings,AD 59,Andrew Yang,1804
Kings,AD 59,Art Chang,56
Kings,AD 59,Dianne Morales,292
Kings,AD 59,Eric L. Adams,16410
Kings,AD 59,Isaac Wright Jr.,82
Kings,AD 59,Joycelyn Taylor,58
Kings,AD 59,Kathryn A. Garcia,1732
Kings,AD 59,Maya D. Wiley,3378
Kings,AD 59,Paperboy Love Prince,54
Kings,AD 59,Raymond J. McGuire,400
Kings,AD 59,Scott M. Stringer,1094
Kings,AD 59,Shaun Donovan,456
Kings,AD 59,WRITE-IN,42
Kings,AD 60,Aaron S. Foldenauer,276
Kings,AD 60,Andrew Yang,916
Kings,AD 60,Art Chang,82
Kings,AD 60,Dianne Morales,440
Kings,AD 60,Eric L. Adams,18214
Kings,AD 60,Isaac Wright Jr.,126
Kings,AD 60,Joycelyn Taylor,106
Kings,AD 60,Kathryn A. Garcia,524
Kings,AD 60,Maya D. Wiley,3124
Kings,AD 60,Paperboy Love Prince,30
Kings,AD 60,Raymond J. McGuire,500
Kings,AD 60,Scott M. Stringer,676
Kings,AD 60,Shaun Donovan,362
Kings,AD 60,WRITE-IN,34
Kings,AD 64,Aaron S. Foldenauer,32
Kings,AD 64,Andrew Yang,610
Kings,AD 64,Art Chang,32
Kings,AD 64,Dianne Morales,146
Kings,AD 64,Eric L. Adams,766
Kings,AD 64,Isaac Wright Jr.,0
Kings,AD 64,Joycelyn Taylor,8
Kings,AD 64,Kathryn A. Garcia,1294
Kings,AD 64,Maya D. Wiley,1012
Kings,AD 64,Paperboy Love Prince,14
Kings,AD 64,Raymond J. McGuire,92
Kings,AD 64,Scott M. Stringer,268
Kings,AD 64,Shaun Donovan,106
Kings,AD 64,WRITE-IN,8
New York,AD 65,Aaron S. Foldenauer,196
New York,AD 65,Andrew Yang,8376
New York,AD 65,Art Chang,266
New York,AD 65,Dianne Morales,860
New York,AD 65,Eric L. Adams,4520
New York,AD 65,Isaac Wright Jr.,46
New York,AD 65,Joycelyn Taylor,62
New York,AD 65,Kathryn A. Garcia,7090
New York,AD 65,Maya D. Wiley,6482
New York,AD 65,Paperboy Love Prince,166
New York,AD 65,Raymond J. McGuire,646
New York,AD 65,Scott M. Stringer,1750
New York,AD 65,Shaun Donovan,576
New York,AD 65,WRITE-IN,44
New York,AD 66,Aaron S. Foldenauer,60
New York,AD 66,Andrew Yang,3794
New York,AD 66,Art Chang,172
New York,AD 66,Dianne Morales,572
New York,AD 66,Eric L. Adams,4310
New York,AD 66,Isaac Wright Jr.,16
New York,AD 66,Joycelyn Taylor,36
New York,AD 66,Kathryn A. Garcia,17260
New York,AD 66,Maya D. Wiley,9782
New York,AD 66,Paperboy Love Prince,144
New York,AD 66,Raymond J. McGuire,1812
New York,AD 66,Scott M. Stringer,2536
New York,AD 66,Shaun Donovan,868
New York,AD 66,WRITE-IN,26
New York,AD 67,Aaron S. Foldenauer,72
New York,AD 67,Andrew Yang,4766
New York,AD 67,Art Chang,238
New York,AD 67,Dianne Morales,694
New York,AD 67,Eric L. Adams,6626
New York,AD 67,Isaac Wright Jr.,22
New York,AD 67,Joycelyn Taylor,48
New York,AD 67,Kathryn A. Garcia,22278
New York,AD 67,Maya D. Wiley,9008
New York,AD 67,Paperboy Love Prince,138
New York,AD 67,Raymond J. McGuire,1974
New York,AD 67,Scott M. Stringer,4192
New York,AD 67,Shaun Donovan,1100
New York,AD 67,WRITE-IN,38
New York,AD 68,Aaron S. Foldenauer,360
New York,AD 68,Andrew Yang,2406
New York,AD 68,Art Chang,174
New York,AD 68,Dianne Morales,1306
New York,AD 68,Eric L. Adams,9224
New York,AD 68,Isaac Wright Jr.,120
New York,AD 68,Joycelyn Taylor,96
New York,AD 68,Kathryn A. Garcia,4364
New York,AD 68,Maya D. Wiley,6338
New York,AD 68,Paperboy Love Prince,94
New York,AD 68,Raymond J. McGuire,980
New York,AD 68,Scott M. Stringer,1478
New York,AD 68,Shaun Donovan,694
New York,AD 68,WRITE-IN,28
New York,AD 69,Aaron S. Foldenauer,180
New York,AD 69,Andrew Yang,3208
New York,AD 69,Art Chang,196
New York,AD 69,Dianne Morales,984
New York,AD 69,Eric L. Adams,6750
New York,AD 69,Isaac Wright Jr.,56
New York,AD 69,Joycelyn Taylor,70
New York,AD 69,Kathryn A. Garcia,18704
New York,AD 69,Maya D. Wiley,10912
New York,AD 69,Paperboy Love Prince,100
New York,AD 69,Raymond J. McGuire,1436
New York,AD 69,Scott M. Stringer,4442
New York,AD 69,Shaun Donovan,1058
New York,AD 69,WRITE-IN,34
New York,AD 70,Aaron S. Foldenauer,296
New York,AD 70,Andrew Yang,1854
New York,AD 70,Art Chang,236
New York,AD 70,Dianne Morales,1200
New York,AD 70,Eric L. Adams,14334
New York,AD 70,Isaac Wright Jr.,194
New York,AD 70,Joycelyn Taylor,132
New York,AD 70,Kathryn A. Garcia,5318
New York,AD 70,Maya D. Wiley,12388
New York,AD 70,Paperboy Love Prince,138
